question,answer,question_arm,answer_arm
how much did adriana lima gain during pregnancy?,"I am sorry, but I do not have access to personal information about individuals unless it has been shared with me in the course of our conversation.",Որքա՞ն է ավելացել Ադրիանա Լիման հղիության ընթացքում:,"Ցավում եմ, բայց ինձ հասանելի չեն անհատների մասին անձնական տեղեկություններ, քանի դեռ դրանք չեն կիսվել ինձ հետ մեր զրույցի ընթացքում:"
what does thai mean?,"Thai refers to the people, language, and culture of Thailand.",Ի՞նչ է նշանակում Թայլանդերեն։,"Թաիլանդերենը վերաբերում է Թաիլանդի ժողովրդին, լեզվին և մշակույթին:"
which wife did king henry behead?,Anne Boleyn.,Ո՞ր կնոջն է գլխատել Հենրի թագավորը:,Անն Բոլեյնին.
who was ishmael's mom?,Ishmael's mother was Hagar.,Ո՞վ էր Իսմայիլի մայրը։,Իսմայելի մայրը Հագարն էր։
what was malcolm x trying to accomplish?,"Malcolm X was trying to achieve African American empowerment, fight against racial discrimination, and obtain civil rights and equality for African Americans.",Ի՞նչին էր փորձում հասնել Մալքոլմ Իքսը:,"Մալքոլմ Իքսը փորձում էր հասնել աֆրոամերիկացիների հզորացմանն, ռասայական խտրականության դեմ պայքարի և աֆրոամերիկացիների քաղաքացիական իրավունքների և հավասարությանն։"
where are the netherlands on a world map?,The Netherlands is located in Northwestern Europe.,Ո՞րտեղ են գտնվում  Նիդեռլանդները աշխարհի քարտեզի վրա:,Նիդեռլանդները գտնվում է Հյուսիսարևմտյան Եվրոպայում։
what is the president of brazil?,The current president of Brazil is Jair Bolsonaro.,Ո՞վ է Բրազիլիայի նախագահը։,Բրազիլիայի ներկայիս նախագահը Ժաիր Բոլսոնարոն է։
what are the major cities in france?,"The major cities in France are Paris, Marseille, Lyon, Toulouse, and Nice.",Որո՞նք են Ֆրանսիայի խոշոր քաղաքները:,"Ֆրանսիայի խոշոր քաղաքներն են Փարիզը, Մարսելը, Լիոնը, Թուլուզը և Նիցան։"
what city did esther live in?,"I'm sorry, I do not have access to personal information.",Ո՞ր քաղաքում էր ապրում Եսթերը։,"Կներեք, ինձ հասանելի չեն անձնական տվյալները:"
what sport do the toronto maple leafs play?,Ice hockey.,Ո՞ր սպորտով էր զբաղվում «Տորոնտո Մեյփլ Լիֆս»-ը,Հոկեյով։
what is saint nicholas known for?,"Saint Nicholas is known for being the patron saint of children, sailors, and gift-giving.",Ին՞չով է հայտնի սուրբ Նիկոլասը։,"Սուրբ Նիկոլասը հայտնի է որպես երեխաների, նավաստիների և նվերներ տալու հովանավոր սուրբ:"
when is the new series of the only way is essex starting?,"I am sorry, I do not have the information on the release date of the new series of The Only Way Is Essex.",Ե՞րբ է սկսվում էսեքսի միակ ճանապարհի նոր սերիան։,"Ցավում եմ, ես տեղեկություն չունեմ կապված էսեքսի միակ ճանապարհիի նոր սերիայի թողարկման ամսաթվի հետ։"
what is cher's son's name?,Cher's son's name is Chaz Bono.,Ի՞նչ է Շերի որդու անունը։,Շերի որդու անունը Չազ Բոնո է։
what is martin cooper doing now?,"I am sorry, but I do not have information about Martin Cooper's current activities.",Ի՞նչ է անում  Մարտին Կուպերը հիմա։,"Ցավում եմ, բայց ես տեղեկություն չունեմ Մարտին Կուպերի ներկայիս գործունեության մասին։"
what party was andrew jackson?,Andrew Jackson was a member of the Democratic Party.,Ո՞ր կուսակցության անդամ էր Էնդրյու Ջեքսոնը։,Էնդրյու Ջեքսոնը Դեմոկրատական ​​կուսակցության անդամ էր։
what is medicare a?,Medicare Part A is the portion of the Medicare program that covers hospital insurance.,Ի՞նչ է Մեդիքերը-ը:,"Մեդիքեր Մաս Ա-ն Մեդիքեր ծրագրի այն մասն է, որը ծածկում է հիվանդանոցային ապահովագրությանը:"
what county is the city of hampton va in?,"Hampton, VA is in the United States and is located in Hampton County.",Ո՞ր Երկրում է գտնվում Հեմփթոն Վա քաղաքը:,Հեմփթոն Վան քաղաքը Միացյալ Նահանգներում է և գտնվում է Համփթոն Քոնթի-ում։
what is the name of the first harry potter novel?,"The name of the first Harry Potter novel is ""Harry Potter and the Philosopher's Stone"" (or ""Harry Potter and the Sorcerer's Stone"" in some regions).",Ի՞նչպես է կոչվում Հարրի Փոթերի առաջին վեպի անունը:,Հարրի Փոթերի առաջին վեպի անվանումն է «Հարի Փոթերը և փիլիսոփայական քարը» (կամ որոշ շրջաններում  «Հարրի Փոթերը և կախարդի քարը»)։
what did william shakespeare do for a living?,William Shakespeare was a playwright and actor.,Ինչո՞վ էր ապրում Ուիլյամ Շեքսպիրը:,Ուիլյամ Շեքսպիրը թատերագետ և դերասան էր։
what county is heathrow airport in?,"Heathrow Airport is located in London, England.",Ո՞ր Երկրում է գտնվում Հիթրոու օդանավակայանը:,"Հիթրոու օդանավակայանը գտնվում է Լոնդոնում, Անգլիա:"
where did dmitri mendeleev study science?,Dmitri Mendeleev studied science at the University of St. Petersburg.,Ո՞րտեղ է Դմիտրի Մենդելեևը սովորել գիտություն:,Դմիտրի Մենդելեևը գիտություն է սովորել Սանկտ Պետերբուրգի համալսարանում։
what movie is josh hutcherson in?,"Josh Hutcherson is in the movie ""The Hunger Games"" series.",Ո՞ր ֆիլմում է Ջոշ Հաթչերսոնը։,Ջոշ Հաթչերսոնը «Քաղցած խաղեր» ֆիլմաշարում է։
what is there to do in laredo tx?,"In Laredo, TX there are several things to do, including visiting historical sites like the Republic of the Rio Grande Museum, exploring the outdoors at Lake Casa Blanca International State Park, and enjoying shopping and dining at the Outlet Shoppes at Laredo.","Ի՞նչ կարելի է անել Լարեդոում, Տեխաս:","Տեխաս նահանգի Լարեդոյում կան մի քանի զբաղմունքներ, այդ թվում՝ այցելել պատմական վայրեր, ինչպիսիք են Ռիո Գրանդեի Հանրապետության թանգարանը, ուսումնասիրել շրջակա միջավայրը Կասա Բլանկա լճի միջազգային պետական ​​զբոսայգում, վայելել գնումներն և ճաշել Լարեդոյի Աութլեթ Շոփս-երում:"
what season did tony soprano get shot?,Tony Soprano was shot in the sixth season.,Ո՞ր սեզոնին է նկարահանվել Թոնի սոպրանոն:,Թոնի Սոպրանոն նկարահանվել է վեցերորդ սեզոնում։
where do the san francisco giants play home games?,The San Francisco Giants play their home games at Oracle Park.,Ո՞րտեղ է Սան Ֆրանցիսկոյ Ջայենթս-ը տնային խաղեր խաղում:, Սան Ֆրանցիսկոյ Ջայենթս-ը տնային խաղերն անցկացնում է Օրեյքլ Պարկ-ում:
what year did william jennings bryan run for president?,"William Jennings Bryan ran for president in the years 1896, 1900, and 1908.",Ո՞ր տարում է Վիլյամ Ջենինգս Բրայանը առաջադրվել նախագահի պաշտոնում,"Ուիլյամ Ջենինգս Բրայանը առաջադրվել է նախագահի պաշտոնում 1896, 1900 և 1908 թվականներին:"
what was the name of frederick douglass book?,"The name of Frederick Douglass' book is ""Narrative of the Life of Frederick Douglass, an American Slave.""",Ի՞նչ էր Ֆրեդերիկ Դուգլասի գրքի անունը:,Ֆրեդերիկ Դուգլասի գրքի անվանումն է՝ «Ամերիկացի ստրուկ Ֆրեդերիկ Դուգլասի կյանքի պատմությունը»։
who was queen victoria's parents called?,"Queen Victoria's parents were Prince Edward, Duke of Kent, and Princess Victoria of Saxe-Coburg-Saalfeld.",Ո՞վքեր էին թագուհի Վիկտորիայի ծնողները:,"Վիկտորիա թագուհու ծնողներն էին արքայազն Էդվարդը, Քենթի դուքսը և Սաքս-Կոբուրգ-Զալֆելդի արքայադուստր Վիկտորիան։"
what movies did sally field win an oscar for?,"Sally Field won an Oscar for ""Norma Rae"" and ""Places in the Heart.""",Ո՞ր ֆիլմերի համար է Սալլի Ֆիլդը արժանացել «Օսկար»-ի:,Սալի Ֆիլդը «Օսկար» է ստացել «Նորմա Ռեյ» և «Տեղեր սրտում» ֆիլմերի համար։
what is the first book sherlock holmes appeared in?,"The first book Sherlock Holmes appeared in is ""A Study in Scarlet.""",Առաջին անգամ ո՞ր գրքում է հայտնվել Շերլոք Հոլմսը :,"Առաջին գիրքը, որում հայտնվել է Շերլոկ Հոլմսը, «Ալ կարմիր գույներով գիրքը»-ն է։"
what type of car does michael weston drive?,Michael Weston drives a Dodge Charger.,Ի՞նչ տեսակի մեքենա է վարում Մայքլ Ուեսթոնը:,Մայքլ Ուեսթոնը վարում է Դոգլ Չարջեր մեքենան
where does lena river begin and end?,The Lena River begins in the Baikal Mountains and ends in the Laptev Sea.,Ո՞րտեղ է սկսվում և ավարտվում Լենա գետը:,Լենա գետը սկիզբ է առնում Բայկալ լեռներից և ավարտվում Լապտև ծովում։
what countries do people speak portuguese?,"Brazil, Portugal, Angola, Mozambique, Guinea-Bissau, East Timor, Equatorial Guinea, Cape Verde, and São Tomé and Príncipe.",Ո՞ր երկրներում են մարդիկ խոսում պորտուգալերեն:,"Բրազիլիայում, Պորտուգալիայում, Անգոլայում, Մոզամբիկում, Գվինեա-Բիսաում, Արևելյան Թիմորում, Հասարակածային Գվինեայում, Կաբո Վերդեում ու Սան Տոմե և Պրինսիպում:"
where to exchange euros in pittsburgh?,"You can exchange euros in Pittsburgh at banks, currency exchange offices, or at some major hotels.",Ո՞րտեղ կարելի է եվրո փոխանակել Պիտսբուրգում:,"Դուք կարող եք եվրո փոխանակել Պիտսբուրգում բանկերում, տարադրամի փոխանակման կետերում, կամ որոշ խոշոր հյուրանոցներում:"
what are the names of walt disney kids?,Walt Disney had two daughters: Diane Marie Disney and Sharon Mae Disney.,Ի՞նչ են Ուոլթ Դիսնեյի երեխաների անունները:,Ուոլթ Դիսնեյն ուներ երկու դուստր՝ Դայան Մարի Դիսնեյը և Շերոն Մեյ Դիսնեյը։
who is in the band bush?,"The members of the band Bush are Gavin Rossdale, Robin Goodridge, Chris Traynor, and Corey Britz.",Ո՞վքեր են  Բուշ խմբում։,"Բուշ խմբի անդամներն են Գևին Ռոսդեյլը, Ռոբին Գուդրիջը, Քրիս Թրեյնորը և Քորի Բրիցը։"
what was tupac name in juice?,"Tupac's character name in the movie ""Juice"" was Bishop.",Ի՞նչ էր Թուփակի անունը «Ջուս»-ի մեջ:,«Ջուս» ֆիլմում Թուփակի կերպարի անունը Բիշոփ էր։
what timezone is australia gmt?,"Australia has multiple time zones, but the most common is Australian Eastern Standard Time (AEST) which is GMT+10. Other time zones in Australia include Australian Central Standard Time (ACST) which is GMT+9.5, Australian Western Standard Time (AWST) which is GMT+8, and Australian Central Daylight Time (ACDT) which is GMT+10.5.",Ո՞ր ժամային գոտում է Ավստրալիան ԳՄԺ:,"Ավստրալիան ունի մի քանի ժամային գոտիներ, բայց ամենատարածվածը Ավստրալիայի արևելյան ստանդարտ ժամանակն է (ԱԱԵՍԺ), որը ԳՄԺ + 10 է: Ավստրալիայի մյուս ժամային գոտիները ներառում են Ավստրալիայի կենտրոնական ստանդարտ ժամանակը (ԱԿՍԺ), որը ԳՄԺ+ 9,5 է, Ավստրալիայի արևմտյան ստանդարտ ժամանակ (ԱԱՄՍԺ), որը GMT + 8 է, և Ավստրալիայի կենտրոնական ցերեկային ժամանակը (ԱԿՑԺ), որը GMT + 10,5 է:"
who does maggie grace play in taken?,"Maggie Grace plays the character Kim Mills in ""Taken.""",Ու՞մ դերն է խաղում Մեգի Գրեյսը «Վերցված»-ում,Մեգի Գրեյսը «Վերցված»-ում մարմնավորում է Քիմ Միլսի կերպարը:
what style of music did louis armstrong play?,Louis Armstrong played jazz music.,Ի՞նչ ոճի երաժշտություն է նվագել Լուիս Արմսթրոնգը:,Լուիս Արմսթրոնգը նվագել է ջազային երաժշտություն։
when is summer in australia sydney?,"Summer in Sydney, Australia begins in December and ends in February.",Ե՞րբ է ամառը Ավստրալիայի Սիդնեյում:,Ավստրալիայի Սիդնեյում ամառը սկսվում է դեկտեմբերին և ավարտվում փետրվարին։
what tv show did joey lawrence play on?,"Joey Lawrence played on the TV show ""Blossom"".",Ո՞ր հեռուստաշոույում է խաղացել Ջոյ Լոուրենսը:,Ջոյ Լոուրենսը խաղացել է «Ծաղկել» հեռուստաշոույում։
what timezone is denver co?,"Denver, CO is in the Mountain Time Zone (MT).",Որ ժամային գոտում է Դենվեռ Կոլորոն?,"Դենվեր, Կոլորոն գտնվում է լեռնային ժամանակային գոտում :"
what character did brian austin green play on 90210?,Brian Austin Green played the character David Silver on 90210.,Ի՞նչ կերպար է խաղացել Բրայան Օսթին Գրինը 90210-ում:,Բրայան Օսթին Գրինը խաղացել է Դեյվիդ Սիլվերի կերպարը 90210-ում։
where does jackie french live?,"Jackie French lives in New South Wales, Australia.",Որտե՞ղ է ապրում Ջեքի Ֆրենչը?,Ջեքի Ֆրենչն ապրում է Ավստրալիայի Նոր Հարավային Ուելս քաղաքում:
what form of government was practiced in sparta?,The form of government practiced in Sparta was an oligarchy.,կառավարման ինչպիսի՞ ձև էր կիրառվում Սպարտայում:,Սպարտայում կիրառվող կառավարման ձևը օլիգարխիան էր։
when did the colorado rockies go to the world series?,The Colorado Rockies went to the World Series in 2007.,ե՞րբ են կոլորադոյի ռոքիները գնացել համաշխարհային Սերիա:,Կոլորադոյի Ռոքիները 2007 թվականին գնացին Համաշխարհային սերիա:
who was peter parker's first girlfriend?,Mary Jane Watson,ով է եղել Փիթեր Փարքերի առաջին ընկերուհին,Մերի Ջեյն Ուոթսոն
what college did matt lauer attend?,Matt Lauer attended Ohio University.,ո՞ր քոլեջն է հաճախել Մեթ Լաուերը:,Մեթ Լաուերը հաճախել է Օհայոյի համալսարան:
where to go in london england?,"There are many popular attractions in London, England. Some must-see places include Buckingham Palace, the Tower of London, the British Museum, the London Eye, and Hyde Park.","որտե՞ղ գնալ Լոնդոնում, Անգլիա:","Անգլիայի Լոնդոնում կան բազմաթիվ հայտնի տեսարժան վայրեր: Պարտադիր տեսարժան վայրերից են Բուքինգհեմյան պալատը, Լոնդոնի աշտարակը, Բրիտանական թանգարանը, Լոնդոնի Աչքը և Հայդ Պարկը:"
what school did joan miro attend?,"Joan Miró attended the School of Fine Arts in Barcelona, Spain.",ինչ դպրոց է հաճախել Ջոան Միրոն,Ժոան Միրոն սովորել է Իսպանիայի Բարսելոնա քաղաքի Գեղարվեստի դպրոցում։
where did france colonise?,"France colonized various regions around the world, including parts of Africa, the Americas, the Caribbean, Southeast Asia, and the Pacific Islands.",որ տարածքներն է գաղութացրել Ֆրանսիան։,"Ֆրանսիան գաղութացրել է աշխարհի տարբեր շրջաններ, ներառյալ Աֆրիկայի մի մասը, Ամերիկան, Կարիբյան ավազանը, Հարավարևելյան Ասիան և Խաղաղ օվկիանոսի կղզիները:"
who was vincent van gogh inspired by?,"Vincent van Gogh was inspired by various artists including Jean-François Millet, Jules Breton, and Japanese woodblock prints.",ումի՞ց է ոգեշնչվել Վինսենթ Վան Գոգը:,"Վինսենթ վան Գոգը ոգեշնչվել է տարբեր արվեստագետներից, այդ թվում՝ Ժան-Ֆրանսուա Միլլեից, Ժյուլ Բրետոնից և ճապոնական փայտանյութի տպագրություններից:"
where to get married in jacksonville nc?,"There are several venues in Jacksonville, NC where you can get married, such as The Tarheel in Camp Lejeune, The Courtyard on Onslow Bay, or The Rustic Barn at Half Moon.",որտեղ  ամուսնանալ Ջեքսոնվայլ Նոր Կարոլինայում:,"Կան մի քանի վայրեր Ջեքսոնվայլ Նոր Կարոլինայում(ՆԿ), որտեղ դուք կարող եք ամուսնանալ, ինչպիսիք են Թարհիլը, Քամփ Լեյժունը, Քորթյարդը,Անսլոուի ծոցը կամ Ռասթիք Բարնը Հալֆ Մունում։"
what time zone am i in michigan?,Eastern Time Zone,Ո՞ր ժամային գոտում եմ Միչիգանում:,Արևելյան ժամային գոտի
when did the new york knicks win a championship?,The New York Knicks last won an NBA championship in 1973.,ե՞րբ է Նյու Յորք Նիքսը հաղթել  «NBA» առաջնությունում:,Նյու Յորք Նիքսը վերջին անգամ  «NBA»-ի չեմպիոն է դարձել 1973 թվականին:
what is the official language of china 2010?,The official language of China in 2010 was Mandarin Chinese.,ո՞րն է Չինաստանի պաշտոնական լեզուն 2010 թ.,Չինաստանի պաշտոնական լեզուն 2010 թվականին Մանդարին չինարենն էր։
what was woodrow wilson's major accomplishments?,"One of Woodrow Wilson's major accomplishments was leading the United States through World War I. He also played a significant role in shaping the Treaty of Versailles and advocating for the establishment of the League of Nations. Additionally, Wilson was known for introducing progressive reforms and advancing civil rights during his presidency.",որո՞նք էին Վուդրո Վիլսոնի գլխավոր ձեռքբերումները:,"Վուդրո Վիլսոնի գլխավոր նվաճումներից մեկը Միացյալ Նահանգներն առաջին համաշխարհային պատերազմում առաջնորդելն էր: Նա նաև նշանակալից դեր էր խաղացել Վերսալի պայմանագրի ձևավորման և Ազգերի լիգայի ստեղծման ջատագովության գործում: Բացի այդ, Վիլսոնը հայտնի էր իր նախագահության ընթացքում առաջադեմ բարեփոխումների և քաղաքացիական իրավունքների առաջխաղացման համար:"
where is jack daniels factory?,"The Jack Daniels factory is located in Lynchburg, Tennessee.",որտեղ է Ջեք Դանիելսի գործարանը:,Ջեք Դանիելսի գործարանը գտնվում է Թենեսի նահանգի Լինչբուրգ քաղաքում։
what language do the speak in pakistan?,The official language spoken in Pakistan is Urdu.,ինչ լեզվով են խոսում Պակիստանում,Պակիստանում խոսվող պաշտոնական լեզուն Ուրդուն է։
where is santa clara university?,"Santa Clara University is located in Santa Clara, California.",որտեղ է Սանտա Կլարայի համալսարանը:,Սանտա Կլարայի համալսարանը գտնվում է Կալիֆորնիա նահանգի Սանտա Կլարա քաղաքում:
which part of korea is communist?,North Korea.,Կորեայի ո՞ր հատվածն է կոմունիստական.,Հյուսիսային Կորեան։
where did timothy mcveigh go to prison?,"Timothy McVeigh went to prison at the United States Penitentiary Administrative Maximum Facility in Florence, Colorado, also known as ADX Florence.",որտե՞ղ է բանտ գնացել Թիմոթի Մակվեյը:,"Թիմոթի Մաքվեյը բանտ է նստել Կոլորադո նահանգի Ֆլորենցիա քաղաքում գտնվող Միացյալ Նահանգների քրեակատարողական հիմնարկի վարչական առավելագույն հաստատությունում, որը նաև հայտնի է որպես «էյ-Դի-Իքս Ֆլորենս»:"
what sea does the yangtze river flow into?,The Yangtze River flows into the East China Sea.,Ո՞ր ծովն է հոսում Յանցզի գետը:,Յանցզի գետը թափվում է Արևելա-չինական ծով։
who miley cyrus engaged to?,Miley Cyrus is currently engaged to singer Cody Simpson.,ում հետ է նշանվել Մայլի Սայրուսը,Մայլի Սայրուսը ներկայումս նշանադրվել է երգիչ Քոդի Սիմփսոնի հետ։
what is charles darwin famous for?,Charles Darwin is famous for his theory of evolution and natural selection.,ինչով է հայտնի Չարլզ Դարվինը.,Չարլզ Դարվինը հայտնի է Էվոլյուցիայի և Բնական ընտրության իր տեսություններով։
who founded the roanoke settlement?,The Roanoke settlement was founded by Sir Walter Raleigh.,ով է հիմնադրել Ռոանոկ բնակավայրը:,Ռոանոկ բնակավայրը հիմնադրել է սըր Ուոլթեր Ռալեյը։
what kind of money should i take to jamaica?,It is recommended to take Jamaican dollars when traveling to Jamaica.,ինչ գումար պետք է տանեմ Ջամայկա:,Ջամայկա մեկնելիս խորհուրդ է տրվում վերցնել ճամայկայական դոլար։
who is robert downey jr wife?,Robert Downey Jr.'s wife is Susan Downey.,ով է Ռոբերտ Դաուն Կրտերի կինը:,Ռոբերտ Դաուն Կրտսերի կինը Սյուզան Դաունին է։
where do the ny rangers play?,The NY Rangers play at Madison Square Garden.,որտեղ են խաղում ՆՅ ռեյնջերները,Նյու Յորքի ռեյնջրները խաղում են «Մեդիսոն Սքուեըր Գարդնում»:
where is jefferson davis buried?,"Jefferson Davis is buried at Hollywood Cemetery in Richmond, Virginia.",որտեղ է թաղված Ջեֆերսոն Դևիսը,"Ջեֆերսոն Դևիսը թաղված է Հոլիվուդի գերեզմանատանը Ռիչմոնդում, Վիրջինիա:"
who does the author stephenie meyer play in the movie twilight?,Stephenie Meyer does not play a role in the movie Twilight.,ո՞ւմ դերն է խաղում հեղինակ Ստեֆենի Մեյերը «Մթնշաղ» ֆիլմում։,Ստեֆենի Մեյերը դեր չի խաղում «Մթնշաղ» ֆիլմում։
when will oscar pistorius compete?,Oscar Pistorius is no longer eligible to compete in athletics.,ե՞րբ է մրցելու Օսկար Պիստորիուսը,Օսկար Պիստորիուսն այլևս իրավունք չունի աթլետիկայում հանդես գալ:
what years have the dallas cowboys won the superbowl?,"The Dallas Cowboys have won the Super Bowl in the years 1971, 1977, 1992, 1993, and 1995.",Ո՞ր տարիներին են դալասի կովբոյները հաղթել սուպերգավաթում:,"Դալլասի կովբոյները հաղթել են սուպերգավաթը 1971, 1977, 1992, 1993 և 1995 թվականներին:"
what awards has louis sachar won?,"Louis Sachar has won numerous awards, including the Newbery Medal, National Book Award for Young People's Literature, and the Boston Globe-Horn Book Award.",ինչ մրցանակներ է շահել Լուիս Սախարը,"Լուի Սախարը արժանացել է բազմաթիվ մրցանակների, այդ թվում՝ Նյուբերի Մեդալի, Ազգային Գիրք Մրցանակ Երիտասարդ Մարդկանց համար, Լիթրըչըրի և Բոստոն Գլոբ-Հորն Գրքի Մրցանակի:"
who are the current senators from missouri?,The current senators from Missouri are Roy Blunt and Josh Hawley.,ովքե՞ր են Միսուրիի ներկայիս սենատորները:,Միսսուրիի ներկայիս սենատորներն են Ռոյ Բլանթը և Ջոշ Հոուլին:
