question,question_concept,choices,answerKey,choice_A,choice_B,choice_C,choice_D,choice_E,question_arm,choice_A_arm,choice_B_arm,choice_C_arm,choice_D_arm,choice_E_arm,responses_en_ZS,responses_arm_ZS,response_en_OS,response_arm_OS,response_en_FS,response_arm_FS,response_arm_sys_ZS,response_arm_sys_OS,response_arm_sys_FS,responses_en_ZS_letter,responses_en_ZS_text,response_en_OS_letter,response_en_OS_text,response_en_FS_letter,response_en_FS_text,responses_arm_ZS_letter,responses_arm_ZS_text,response_arm_OS_letter,response_arm_OS_text,response_arm_FS_letter,response_arm_FS_text,response_arm_sys_ZS_letter,response_arm_sys_ZS_text,response_arm_sys_OS_letter,response_arm_sys_OS_text,response_arm_sys_FS_letter,response_arm_sys_FS_text
"He sat down at the table to play poker, to join the hand he had to what?",play poker,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['losing money', 'drink', 'bet money', 'concentrate', 'ante up'],
      dtype=object)}",E,losing money,drink,bet money,concentrate,ante up,"Նա նստեց սեղանի մոտ պոկեր խաղալու, ձեռքը միացնելու ինչի՞ն:",գումար կորցնելը,խմել,խաղադրույք գումար,կենտրոնանալ,ante up,E) ante up,A) գումար կորցնելը,C) bet money,A) գումար կորցնելը,C) bet money,D) կենտրոնանալ,C) խաղադրույք գումար,B) խմել,C) խաղադրույք գումար,E,ante up,C,bet money,C,bet money,A,գումար կորցնելը,A,գումար կորցնելը,D,կենտրոնանալ,C,խաղադրույք գումար,B,խմել,C,խաղադրույք գումար
Becoming inebriated leads to what state?,becoming inebriated,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['regret', 'drunkenness', 'high energy', 'paralysis', 'arrest'],
      dtype=object)}",B,regret,drunkenness,high energy,paralysis,arrest,Ի՞նչ վիճակի է հանգեցնում հարբած լինելը։,ափսոսանք,հարբեցողություն,բարձր էներգիա,կաթվածահարություն,ձերբակալություն,B) drunkenness,B) հարբեցողություն,B) drunkenness,Պահանջվող պատասխանը կամայական է։,B) drunkenness,"Q: Ի՞նչ վիճակի է հանգեցնում հարբած լինելը։
Options:
A) ափսոսանք
B) հարբեցողություն
C) բարձր էներգիա
D) կաթվածահարություն
E) ձերբակալություն",C) բարձր էներգիա,Պատասխանն էլ կլինի B) հարբեցողություն,B) հարբեցողություն,B,drunkenness,B,drunkenness,B,drunkenness,B,հարբեցողություն,,,,"ափսոսանք
B) հարբեցողություն
C) բարձր էներգիա
D) կաթվածահարություն
E) ձերբակալություն",C,բարձր էներգիա,,հարբեցողություն,B,հարբեցողություն
"Luke was a human. Like most humans, he learned from his parents.  He was mortal, but he could preserve himself by doing what?",human,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'write', 'smile', 'die', 'think critically'], dtype=object)}",B,ocean,write,smile,die,think critically,"Ղուկասը մարդ էր։ Մարդկանց մեծամասնության նման, նա սովորեց իր ծնողներից։ Նա մահկանացու էր, բայց ինչո՞վ կարող էր իրեն պահպանել:",օվկիանոս,գրել,ժպտալ,մեռնել,քննադատաբար մտածել,C) smile,D) մեռնել,D) die,A) օվկիանոս,D,A) օվկիանոս,E) քննադատաբար մտածել,A) օվկիանոս,A) օվկիանոս,C,smile,D,die,D,,D,մեռնել,A,օվկիանոս,A,օվկիանոս,E,քննադատաբար մտածել,A,օվկիանոս,A,օվկիանոս
Sarah loved riding horse but she was having pain in his legs because of it. She was experiencing what sesation?,riding horse,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bouncing', 'shaky', 'fear', 'movement', 'stiffness'], dtype=object)}",E,bouncing,shaky,fear,movement,stiffness,"Սառան սիրում էր ձի վարել, բայց դրա պատճառով նրա ոտքերը ցավում էին: Ի՞նչ սենսացիա էր նա զգում:",ցատկող,երերուն,վախ,շարժում,կոշտություն,E) stiffness,D) շարժում,E) stiffness,D) շարժում,E) stiffness,B) երերուն,"Լավ, ես ընտրում եմ B) երերուն տարբերակը։","Q: Որտե՞ղ է Տիգրանես Հոլովկանյանը ծավալում տապալը։

A. Ռուսաստան
B. Հնդկաստան
C. Իրան
D. Տաջիկստան
E. Չեղասպանություն",B) երերուն,E,stiffness,E,stiffness,E,stiffness,D,շարժում,D,շարժում,B,երերուն,,երերուն տարբերակը։,,,B,երերուն
"She could wait for her new terrace to be covered in green next year, it was the final piece of her dream what?",terrace,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garden', 'yard', 'southern europe', 'rice paddy', 'house'],
      dtype=object)}",A,garden,yard,southern europe,rice paddy,house,"Նա կարող էր սպասել, որ հաջորդ տարի իր նոր պատշգամբը կանաչապատվի, դա իր երազանքի վերջին կտորն էր:",այգի,բակ,հարավային Եվրոպա,բրնձի բրինձ,տուն,A) garden,A) այգի,A) garden,A) այգի,A) garden,C) հարավային Եվրոպա,"Ես ընտրում եմ 'A' տարբերակը, որը նշում է այգին:",Դատասխանը պետք է լինի B) բակ,"A

վելը։",A,garden,A,garden,A,garden,A,այգի,A,այգի,C,հարավային Եվրոպա,,,,բակ,,
"From state to state gardeners appreciate the bee, it is a popular pollinator where?",bee,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['united states', 'apiary', 'michigan', 'trees', 'field of flowers'],
      dtype=object)}",A,united states,apiary,michigan,trees,field of flowers,"Պետությունից մինչև նահանգ այգեպանները գնահատում են մեղուն, այն հայտնի փոշոտող է, որտեղ:",Միացյալ Նահանգներ,մեղվանոց,Միչիգան,ծառեր,ծաղիկների դաշտ,E) field of flowers,B) մեղվանոց,B) apiary,D) ծառեր,B) apiary,A) Միացյալ Նահանգներ,Ես կընտրեմ B) մեղվանոց,B) մեղվանոց,B) մեղվանոց,E,field of flowers,B,apiary,B,apiary,B,մեղվանոց,D,ծառեր,A,Միացյալ Նահանգներ,,մեղվանոց,B,մեղվանոց,B,մեղվանոց
Many prison movies take place at what famous prison?,prison,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'city', 'countryside', 'america', 'alcatraz'],
      dtype=object)}",E,forest,city,countryside,america,alcatraz,Ո՞ր հայտնի բանտում են տեղի ունենում բազմաթիվ բանտային ֆիլմեր:,անտառ,քաղաք,գյուղամերձ,Ամերիկա,ալկատրաս,E) Alcatraz,D) Ամերիկա,E) Alcatraz,A) անտառ,E) Alcatraz,D) Ամերիկա,B) քաղաք,The answer is D) Ամերիկա,B) քաղաք,E,Alcatraz,E,Alcatraz,E,Alcatraz,D,Ամերիկա,A,անտառ,D,Ամերիկա,B,քաղաք,,Ամերիկա,B,քաղաք
"The lizard lived at the base of the ancient longest wall, what country did it likely live in?",lizard,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forrest', 'desert', 'tropics', 'china', 'garden'], dtype=object)}",D,forrest,desert,tropics,china,garden,"Մողեսն ապրել է հնագույն ամենաերկար պարսպի հիմքում, ո՞ր երկրում է այն հավանաբար ապրել:",անտառ,անապատ,արեւադարձային շրջաններ,Չինաստան,այգի,D) China,D) Չինաստան,D) China,D) Չինաստան,D,"Q: Մողեսն ապրել է հնագույն ամենաերկար պարսպի հիմքում, ո՞ր երկրում է այն հավանաբար ապրել:
Options:
A) անտառ
B) անապատ
C) արեւադարձային շրջաններ
D) Չինաստան
E) այգի",A) անտառ,The answer is D) Չինաստան,B) անապատ,D,China,D,China,D,,D,Չինաստան,D,Չինաստան,,"անտառ
B) անապատ
C) արեւադարձային շրջաններ
D) Չինաստան
E) այգի",A,անտառ,,Չինաստան,B,անապատ
Where might someone go to watch a flute?,flute,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['park', 'symphony', 'orchestra', 'music shop',
       'musical instrument store'], dtype=object)}",B,park,symphony,orchestra,music shop,musical instrument store,Որտե՞ղ կարող է ինչ-որ մեկը գնալ ֆլեյտա դիտելու:,այգի,սիմֆոնիա,նվագախումբ,երաժշտական ​​խանութ,երաժշտական ​​գործիքների խանութ,B) symphony,A) այգի,B) symphony,A) այգի,C) orchestra,C) նվագախումբ,C) նվագախումբ,Վերջին հարցում՝ ամենահամապատասխան տարբերակը 'B' է:,C) նվագախումբ,B,symphony,B,symphony,C,orchestra,A,այգի,A,այգի,C,նվագախումբ,C,նվագախումբ,,,C,նվագախումբ
"Family is always the best for devotion, but it is also nice if a person has what?",person,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['good review', 'headache', 'with cat', 'loyal friends', 'shoes'],
      dtype=object)}",D,good review,headache,with cat,loyal friends,shoes,"Ընտանիքը միշտ լավագույնն է նվիրվածության համար, բայց նաև հաճելի է, եթե մարդն ի՞նչ ունի:",լավ ակնարկ,գլխացավ,կատվի հետ,հավատարիմ ընկերներ,կոշիկներ,D) loyal friends,A) լավ ակնարկ,D) loyal friends,A) լավ ակնարկ,D) loyal friends,A) լավ ակնարկ,Ես մտածեցի՝ Ե) քրոջերը:,A) լավ ակնարկ,C) կատվի հետ,D,loyal friends,D,loyal friends,D,loyal friends,A,լավ ակնարկ,A,լավ ակնարկ,A,լավ ակնարկ,,քրոջերը:,A,լավ ակնարկ,C,կատվի հետ
Where would you put a marker if you plan to use it soon at the same location?,marker,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""child's backpack"", 'desk', 'pocket', 'office supply store',
       'briefcase'], dtype=object)}",B,child's backpack,desk,pocket,office supply store,briefcase,"Որտե՞ղ կդնեիք մարկեր, եթե նախատեսում եք այն շուտով օգտագործել նույն վայրում:",մանկական ուսապարկ,գրասեղան,գրպան,գրասենյակային պարագաների խանութ,թղթապանակ,C) pocket,B) գրասեղան,B) desk,Գրասենյակային պարագաների խանութ (ինչպես տարբերակումը պարագաները առաջևանում են),B) desk,A) մանկական ուսապարկ,"Բոլոր տարբերակներին 'C' տառը ներկայացնելով քո դատողության վրա, կտամ գրպան ուսուցիչին։",Տարբերակ B) գրասեղան,C) գրպան,C,pocket,B,desk,B,desk,B,գրասեղան,,,A,մանկական ուսապարկ,,,,գրասեղան,C,գրպան
He kept a container can for draining oil in what location of the house?,container can,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['liquid', 'store', 'garage', 'pantry', 'gutter'], dtype=object)}",C,liquid,store,garage,pantry,gutter,Տան ո՞ր վայրում նա պահում էր յուղը թափելու համար նախատեսված տարա:,հեղուկ,խանութ,ավտոտնակ,մառան,հեղեղատար,C) garage,D) մառան,C) garage,"Հարց: Տան ո՞ր վայրում նա պահում էր յուղը թափելու համար նախատեսված տարա:
Տարբերակներ:
A) հեղուկ
B) խանութ
C) ավտոտնակ
D) մառան
E) հեղեղատար",C) garage,"Q: Տան ո՞ր վայրում նա պահում էր յուղը թափելու համար նախատեսված տարա:
Options:
A) հեղուկ
B) խանութ
C) ավտոտնակ
D) մառան
E) հեղեղատար","Անալեզուն ինրողական գումարներին տարտանեցնելու համար, նույնպես ավտոտնականությունը ստեղծվել է։ Պետք է ընտրես 'C' տարբերակը։","Q: Տան ո՞ր վայրում նա պահում էր յուղը թափելու համար նախատեսված տարա:
Պատասխան: B) խանութ",C) ավտոտնակ,C,garage,C,garage,C,garage,D,մառան,,"հեղուկ
B) խանութ
C) ավտոտնակ
D) մառան
E) հեղեղատար",,"հեղուկ
B) խանութ
C) ավտոտնակ
D) մառան
E) հեղեղատար",,,,խանութ,C,ավտոտնակ
What do humans have that cerberus does not have?,humans,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['one head', 'two ears', 'lay eggs', '3 legs', 'two feet'],
      dtype=object)}",A,one head,two ears,lay eggs,3 legs,two feet,"Ի՞նչ ունեն մարդիկ, որոնք չունեն ցերբերուսը:",մեկ գլուխ,երկու ականջ,ձու դնել,3 ոտք,երկու ոտնաչափ,A) one head,A) Մեկ գլուխ,A) one head,"Հարց: Ի՞նչ ունեն մարդիկ, որոնք չունեն ցերբերուսը:
Տարբերակներ:
A) մեկ գլուխ
B) երկու ականջ
C) ձու դնել
D) 3 ոտք
E) երկու ոտնաչափ",A) one head,"Q: Ի՞նչ ունեն մարդիկ, որոնք չունեն ցերբերուսը:
Options:
A) մեկ գլուխ
B) երկու ականջ
C) ձու դնել
D) 3 ոտք
E) երկու ոտնաչափ","Հրանտակեք, դատարանային թույլտվությունը միացնելով ցերեկվորը։","Example:
Հարց: Երբ փողոցական երկրորդը գնում է գույքերով լուսացույցի մեջ, վայրից որտեղից կպետք է առաջինը հասնել նրանց։
Տարբերակներ:
A) Իսկապես
B) Հյուսիսային
C) Արեգական
D) Արևելային
E) Արևմուտքային
D
Հաջորդ հարցը: Երբ գուցե ես ծաղիկներով գնվեք, որտեղից եք հասնում գլխուներին։
Տարբերակներ:
A) Ծառով
B) կոպակողանիշով
C) Քամիչով
D) Թափային գոգոգակողանիշով
E) Կասետիկոյով",C,A,one head,A,one head,A,one head,A,Մեկ գլուխ,,"մեկ գլուխ
B) երկու ականջ
C) ձու դնել
D) 3 ոտք
E) երկու ոտնաչափ",,"մեկ գլուխ
B) երկու ականջ
C) ձու դնել
D) 3 ոտք
E) երկու ոտնաչափ",,,,"Իսկապես
B) Հյուսիսային
C) Արեգական
D) Արևելային
E) Արևմուտքային
D
Հաջորդ հարցը: Երբ գուցե ես ծաղիկներով գնվեք, որտեղից եք հասնում գլխուներին։
Տարբերակներ:
A) Ծառով
B) կոպակողանիշով
C) Քամիչով
D) Թափային գոգոգակողանիշով
E) Կասետիկոյով",C,
